concept,category,domain,hit_visual,hit_lexical,far_lexical,far_visual,Energy,JPEG_size,PNWS,H,S,V,layer3,layer6,layer8,coca_frequency,name_agreement,NoF_noTax,CS,MD,CSxD
slug,insect,living,0.811321,0.666667,0.454545455,0.19047619,6,9588,0.79509,0.13978,0.22126,89.7821,1.1371,1.4465,1.8852,1488,0.84,45,0.18753,0.110967455,1.628868959
smoke detector,house parts,nonliving,0.386364,0.404762,0.37037037,0.2,18,9127,0.57506,0.13986,0.22109,89.8224,0.95255,1.4834,1.7966,123,0.958333333,38,0.16976,0.114562245,2.147764911
snail,insect,living,0.816327,0.851852,0.518518519,0.392857143,3,9150,0.34384,0.13974,0.22108,89.784,1.0786,1.5854,2.0073,1461,0.833333333,40,0.22519,0.126707581,2.288982157
snake,reptile,living,0.9,0.857143,0.481481481,0.448275862,15,6252,0.17761,0.13962,0.22094,89.7208,1.2136,1.7466,2.0003,8523,0.625,52,0.15873,0.084229595,2.005409769
sneakers,clothing,nonliving,0.375,0.48,0.644444444,0.111111111,14,11080,0.4162,0.13956,0.22098,89.7113,0.96852,1.5145,2.2405,2696,0.333333333,52,0.16214,0.096506614,1.558823643
snow peas,vegetable,living,0.714286,0.653846,0.178571429,0.448275862,4,5350,0.27004,0.13949,0.22091,89.667,1.2014,2.0431,2.1425,249,0,39,0.15125,0.072502602,1.731403734
snowflake,decorative,nonliving,0.698113,0.592593,0.311111111,0.204545455,50,25388,0.59059,0.13949,0.22075,89.6768,0.88664,1.8719,2.2557,1057,0.8,42,0.14731,0.103911989,1.851131667
snowglobe,decorative,nonliving,0.42,0.464286,NA,NA,7,10847,0.61308,0.13943,0.22081,89.7295,1.0734,1.5058,1.9971,5,1,36,0.1674,0.105131283,1.808126642
snowman,holiday,nonliving,0.636364,0.346154,0.279069767,0.222222222,9,9888,0.50176,0.13942,0.22065,89.7252,0.94062,1.4803,1.8793,461,1,39,0.17259,0.106392946,2.069059304
snowmobile,vehicle,nonliving,0.7,0.310345,NA,0.114285714,4,10792,0.45464,0.1396,0.22062,89.719,0.94166,1.5101,2.0149,884,0.5,44,0.12349,0.067715974,1.265412582
soap dispenser,household items,nonliving,0.310345,0.392857,0.444444444,0.24,28,7734,0.33287,0.13958,0.22038,89.6977,1.1045,1.6763,1.868,17,0.041666667,39,0.15737,0.093039165,1.616962416
soccer ball,sports,nonliving,0.477272727,NA,NA,0.410714286,5,9676,0.82644,0.13953,0.22031,89.7607,0.83139,1.5905,1.6704,1,0.791666667,43,0.16071,0.110683226,2.207905532
sock,clothing,nonliving,0.375,0.628571,0.566666667,0.171428571,13,7583,0.21764,0.1395,0.22009,89.7044,1.2842,1.8595,1.9856,6273,0.958333333,58,0.16731,0.107657555,2.030359508
soda machine,street items,nonliving,0.535714,0.555556,0.48,0.204081633,13,17454,0.59576,0.13959,0.22007,89.708,0.87723,1.4414,2.015,45,0.869565217,41,0.13387,0.110139804,2.016095593
sombrero,clothing,nonliving,0.408163,0.518519,0.214285714,0.178571429,16,18272,0.59148,0.1396,0.22014,89.6874,0.78164,1.2597,1.8855,210,0.958333333,36,0.17275,0.089275604,1.542793151
soup,food,nonliving,0.28,0.482759,NA,0.222222222,3,7329,0.47951,0.1396,0.22013,89.7024,1.0049,1.4608,1.7934,10571,0.956521739,37,0.17938,0.116915458,2.806580098
space heater,electronics,nonliving,0.408163,0.411765,0.451612903,0.277777778,53,21721,0.8275,0.13986,0.22009,89.6815,0.97609,1.6157,2.1966,667,0.375,48,0.14246,0.083733411,1.792367649
space shuttle,vehicle,nonliving,0.557692,0.444444,0.441860465,0.136363636,7,6712,0.23049,0.13975,0.21995,89.6304,1.1648,1.6493,1.4644,1843,0.208333333,37,0.16167,0.074466033,1.583975793
spaghetti,food,nonliving,0.772727,0.545455,0.222222222,0.127272727,13,15430,0.63548,0.13972,0.22016,89.6875,0.8466,1.4138,1.6894,1739,0.958333333,42,0.19244,0.123606984,2.268874417
speaker,electronics,nonliving,0.555556,0.55814,0.5,0.381818182,2,7894,0.70157,0.14003,0.22001,89.6562,1.1901,1.6943,1.7762,12889,0.833333333,43,0.13837,0.110692216,1.977962017
spear,military,nonliving,0.62069,0.535714,0.392857143,0.28,22,3983,0.36527,0.1399,0.22014,89.6556,1.3823,2.0748,2.2763,2173,0.96,43,0.17538,0.099156944,1.75202827
spider,insect,living,0.657143,NA,0.714285714,0.333333333,22,8032,0.23783,0.13984,0.21999,89.6072,0.89954,1.6456,2.0433,4215,0.76,33,0.1861,0.065191745,1.583657608
spinach,vegetable,living,0.840909,0.555556,0.307692308,0.269230769,3,9666,0.58723,0.13989,0.22005,89.6394,0.96788,1.8854,2.139,2819,0.833333333,31,0.21002,0.079090229,2.357078434
spool,tool,nonliving,0.3,0.444444,0.296296296,0.142857143,5,7693,0.29067,0.13978,0.21995,89.6013,1.2409,1.5968,2.0989,627,0.291666667,42,0.1226,0.089459638,1.570775508
spoon,kitchen items,nonliving,0.482759,0.571429,0.607142857,0.46,14,5188,0.15777,0.13966,0.2198,89.53,1.3182,1.8034,1.9922,6194,1,37,0.13616,0.084549882,1.691221615
spotlight,furniture,nonliving,0.350877,0.346154,0.363636364,0.136363636,10,7868,0.28512,0.13957,0.21966,89.4587,0.91737,1.662,1.8479,4144,0.333333333,47,0.164,0.097972935,1.619307909
spring,tool,nonliving,0.344828,0.481481,0.321428571,0.229166667,17,9288,0.29724,0.13952,0.2195,89.4073,0.92415,1.5591,1.8866,44085,0.75,39,0.17392,0.114519635,1.768881728
squash,vegetable,living,0.5,0.777778,0.607142857,0.275862069,3,5479,0.43872,0.13945,0.2196,89.4163,1.1198,1.6148,1.6711,2957,0.791666667,46,0.13903,0.077106656,2.029948422
squid,sea,living,0.571429,0.433333,NA,0.25,6,7988,0.29899,0.13936,0.21955,89.3769,1.1395,1.6303,2.0144,1271,0.666666667,42,0.15244,0.07487282,1.796326345
squirrel,mammal,living,0.755556,0.627907,0.653846154,0.444444444,5,9977,0.37357,0.13927,0.21941,89.3273,1.0079,1.4525,2.1772,2885,0.916666667,38,0.17277,0.095969248,2.305152171
stained glass window,house parts,nonliving,0.607143,0.481481,0.431818182,0.272727273,53,33015,0.8009,0.13952,0.21961,89.3464,0.89022,1.2427,2.1529,63,0.833333333,40,0.15902,0.104900245,2.019711818
stairs,house parts,nonliving,0.464286,0.428571,0.428571429,0.36,5,8799,0.99959,0.1396,0.21965,89.4874,1.1167,1.9111,2.1743,815,0.75,34,0.16375,0.126001059,1.907978477
stamp,tool,nonliving,0.6,0.230769,0.279069767,0.155555556,3,14787,0.55887,0.13948,0.21941,89.45,1.1332,1.4464,2.0262,4611,0.208333333,41,0.12959,0.069161343,1.502164081
stapler,office tool,nonliving,0.257143,0.7,0.529411765,0.1,3,8998,0.58188,0.13983,0.21946,89.4413,0.87246,1.7039,1.8176,124,0.96,26,0.15192,0.101646312,1.82877445
starfish,sea,living,0.591837,0.451613,NA,0.305555556,6,11868,0.4209,0.13975,0.21946,89.4446,1.0786,1.5509,1.8732,332,0.75,41,0.13091,0.058190995,1.16002612
starfruit,fruit,living,0.8,0.785714,NA,NA,3,8386,0.49538,0.13969,0.2196,89.4526,0.84324,1.6025,1.8816,8,0.708333333,47,0.1341,0.06851514,1.480836567
stationary bike,sports,nonliving,0.46,0.5,0.448275862,0.305555556,11,9734,0.39401,0.13969,0.21951,89.4345,0.87729,1.5371,1.8496,181,1,37,0.12736,0.091642862,1.502899162
steak,food,nonliving,0.571429,0.466667,NA,0.111111111,3,8896,0.69149,0.13977,0.21965,89.4761,1.1763,1.5452,1.8955,5596,0.958333333,30,0.21077,0.095584976,1.625489959
steam engine,vehicle,nonliving,0.52,0.357143,0.357142857,0.275862069,2,13319,0.52663,0.13977,0.2196,89.4418,0.90815,1.3297,1.7608,21766,0.125,42,0.1651,0.081549396,1.971154254
step stool,furniture,nonliving,0.714286,0.384615,0.348837209,0.272727273,4,15971,0.6426,0.13971,0.21988,89.4895,1.1324,1.3117,1.8275,49,1,42,0.13204,0.071840469,1.941299257
stepladder,furniture,nonliving,0.416667,0.62963,0.542857143,0.163265306,10,10755,0.47677,0.13968,0.2201,89.4996,0.63617,1.5146,2.1742,127,0.291666667,30,0.13423,0.06128794,1.379384456
stickbug,insect,living,,,0.4,0.773584906,,,,0.13957,0.21997,89.4381,1.0518,1.7139,2.0594,,0.958333333,35,0.17802,0.084739795,1.6144589
stork,birds,living,0.793103,0.296296,0.518518519,0.52,8,8100,0.24854,0.13954,0.2198,89.3864,1.1097,1.6108,2.4399,366,0.125,29,0.20487,0.069030135,1.79851982
strainer,tool,nonliving,0.42,0.444444,0.428571429,0.24137931,6,7095,0.27523,0.13947,0.21959,89.3316,1.1113,1.6983,1.569,476,0.608695652,33,0.13982,0.076893171,1.822858617
strawberry,fruit,living,0.793103,0.892857,0.464285714,0.387755102,2,11612,0.55722,0.13938,0.21983,89.3454,1.0528,1.4328,1.5618,4326,1,30,0.20282,0.053211871,1.599604341
stroller,baby,nonliving,0.583333,0.607143,0.62962963,0.357142857,6,10598,0.39111,0.13945,0.2197,89.3069,0.87682,1.483,1.5992,1177,0.8,43,0.14145,0.073872861,1.555323085
sugar shaker,kitchen items,nonliving,0.44898,0.407407,0.428571429,0.321428571,14,9537,0.47164,0.1393,0.21944,89.3071,1.1679,1.5238,2.0109,49,0,38,0.14529,0.085992577,1.232975571
sundial,tool,nonliving,0.472222,NA,0.6,0.163265306,6,17782,0.59182,0.13922,0.2196,89.3371,0.86182,1.294,1.8989,173,0.5,31,0.17063,0.108175696,1.445455047
sunglasses,clothing,nonliving,0.314286,0.5,0.411764706,0.2,6,6974,0.25527,0.13916,0.21944,89.2658,0.92748,1.6696,1.8945,2804,1,31,0.16134,0.102527588,1.879104216
surfboard,sports,nonliving,0.530612,0.428571,0.6,0.228571429,8,6004,0.25049,0.13911,0.2194,89.2266,1.1108,1.6464,1.8596,296,0.666666667,41,0.14415,0.093153188,2.189807477
swan,birds,living,0.77551,0.703704,0.333333333,0.275862069,6,6601,0.50314,0.13924,0.21906,89.2229,1.1803,1.8585,2.0343,1158,0.916666667,27,0.17996,0.068306406,1.503224742
swimsuit,clothing,nonliving,0.535714,0.481481,0.285714286,0.14,4,7683,0.3899,0.13941,0.21917,89.2179,0.85548,1.557,1.7233,855,0.416666667,45,0.16689,0.133468959,2.185335312
swingset,street items,nonliving,0.44186,0.454545,0.125,0.111111111,26,7308,0.26886,0.13936,0.21907,89.1828,0.92063,1.5525,2.0397,24,1,35,0.11194,0.06679483,1.569243423
swiss army knife,tool,nonliving,0.577778,0.555556,0.538461538,0.277777778,8,9606,0.32681,0.13928,0.21905,89.1503,0.96497,1.4998,1.6223,168,0.416666667,33,0.16101,0.08884684,1.73090037
sword,military,nonliving,0.533333,0.577778,0.444444444,0.350877193,13,4820,0.13593,0.13917,0.21885,89.0819,1.3888,2.1265,2.2869,7029,0.76,37,0.16247,0.070770265,1.327245
syringe,tool,nonliving,0.6,0.6,0.517241379,0.333333333,23,4775,0.11328,0.13905,0.21864,89.008,1.336,2.0124,1.8541,1404,0.583333333,31,0.17432,0.109036387,1.941554243
table saw,appliances,nonliving,0.44898,0.466667,NA,0.222222222,11,12288,0.94363,0.13913,0.21852,89.127,0.81824,1.5238,1.835,141,1,41,0.14531,0.051688524,1.278626872
tambourine,musical instruments,nonliving,0.64,0.62069,NA,0.444444444,6,13101,0.70876,0.1391,0.21852,89.1786,1.3506,1.6389,1.967,222,0.75,40,0.138,0.076290826,1.546644248
tank,military,nonliving,0.44,0.428571,NA,0.411764706,3,9216,0.33144,0.13904,0.21845,89.1278,0.97373,1.6739,1.9591,19158,1,39,0.15684,0.104872217,1.896582715
tanktop,clothing,nonliving,0.592593,0.392857,NA,NA,2,7828,0.46356,0.13888,0.2182,89.0587,1.1445,1.772,2.1708,5,0.791666667,35,0.20406,0.108861013,1.878522241
tape,office tool,nonliving,0.688889,0.340909,0.56,0.142857143,4,5516,0.3152,0.1389,0.21822,89.0401,1.0248,1.8522,1.7097,25730,1,40,0.17573,0.108619377,1.643690313
tarantula,insect,living,0.553191,0.6,NA,0.666666667,11,8176,0.21187,0.13879,0.21812,88.9795,1.0788,1.5559,1.8862,224,0.125,39,0.19416,0.078056594,1.91300073
taxi,vehicle,nonliving,0.285714,0.75,0.5,0.16,7,7808,0.38522,0.13869,0.218,88.96,1.0707,1.3056,2.073,4728,0.833333333,37,0.16106,0.08457696,1.506287254
teddybear,toys,nonliving,0.688889,0.767442,0.666666667,0.228070175,9,14669,0.75809,0.13873,0.21826,88.9955,1.0048,1.2092,2.0618,9,0.958333333,42,0.1805,0.111985501,2.018279758
teepee,building,nonliving,0.563636,0.538462,0.348837209,0.159090909,6,7155,0.79839,0.13879,0.21823,89.1067,1.1101,1.7844,1.9518,134,0.708333333,45,0.15319,0.134698242,1.880431987
telephone,electronics,nonliving,0.526316,0.576923,0.590909091,0.422222222,8,10349,0.58229,0.13908,0.21808,89.0531,0.90538,1.3325,1.7294,19311,1,48,0.16922,0.10009239,1.865352108
telephone booth,street items,nonliving,0.488372,0.727273,0.481481481,0.157894737,17,11623,0.4469,0.13885,0.2182,89.088,0.8946,1.5442,1.7975,73,0.625,49,0.12981,0.095576108,1.853423546
telescope,tool,nonliving,0.533333,0.47619,0.384615385,0.307692308,8,8403,0.29466,0.13905,0.21793,89.0002,0.90403,1.6856,1.8314,12754,1,47,0.13159,0.090545544,1.877720272
television,electronics,nonliving,0.448276,0.535714,0.428571429,0.244897959,5,10847,0.75906,0.13907,0.2179,88.9859,1.1823,1.5332,2.0062,49673,1,51,0.13954,0.082515459,2.121994107
tennis ball,sports,nonliving,0.781818,0.555556,0.477272727,0.288888889,2,9045,0.8452,0.1391,0.21827,89.0857,1.3947,1.7079,1.7231,304,0.88,40,0.16321,0.103759677,1.760671065
tent,sports,nonliving,0.527778,0.37931,0.628571429,0.38,9,9659,0.50667,0.13925,0.21818,89.0989,0.86994,1.593,1.8613,10110,1,46,0.15096,0.084296411,1.484915749
thermos,sports,nonliving,0.551724,0.321429,0.407407407,0.285714286,4,7415,0.39836,0.13921,0.21805,89.0505,0.99727,1.5097,1.8166,558,0.958333333,43,0.15156,0.102680827,1.898199529
thimble,household items,nonliving,0.642857,0.592593,0.192307692,0.24,23,12097,0.69997,0.13913,0.21782,89.0986,1.1358,1.611,1.7684,256,0.541666667,37,0.12168,0.055604277,1.037955046
throne,furniture,nonliving,0.522727,0.325581,0.36,0.283018868,5,11255,0.48458,0.13921,0.21794,89.1152,0.9074,1.43,1.8493,2633,0.75,49,0.13341,0.082331728,1.746992945
tie,clothing,nonliving,0.416667,NA,0.580645161,0.104166667,13,10719,0.25551,0.13911,0.2179,89.0642,1.1588,1.4402,1.7252,17787,0.958333333,46,0.18735,0.111131904,1.760895626
tiger,mammal,living,0.8,0.769231,0.431818182,0.555555556,9,13966,0.58732,0.13904,0.21792,89.069,0.97844,1.3488,1.9627,2955,0.916666667,41,0.16701,0.075073791,2.126245702
tile,decorative,nonliving,0.194444,0.517241,0.342857143,0.06,60,20687,0.73669,0.13947,0.21784,89.1407,1.0055,1.6241,2.1208,5200,0.96,56,0.14683,0.094025523,1.990642936
tire,vehicle,nonliving,0.42,0.428571,0.464285714,0.228571429,2,11033,0.74689,0.13982,0.21787,89.1352,0.91227,1.4192,1.8073,5957,0.958333333,37,0.16073,0.111713518,2.189406554
toaster,appliances,nonliving,0.381818,0.538462,0.444444444,0.302325581,9,10371,0.606,0.13999,0.2177,89.151,1.0203,1.6676,1.5297,686,0.375,44,0.12786,0.074935513,1.544527031
toaster oven,appliances,nonliving,0.5,0.636364,0.551724138,0.25,10,9171,0.41106,0.14001,0.21754,89.1397,0.97893,1.56,1.6186,127,1,47,0.14806,0.075206931,1.211275706
toilet,furniture,nonliving,0.609756,0.386364,0.538461538,0.142857143,4,7217,0.49641,0.13999,0.21748,89.1583,1.1156,1.503,1.8501,6939,1,40,0.13292,0.100728619,1.536837514
toilet paper,household items,nonliving,0.310345,0.444444,0.392857143,0.3125,8,8327,0.68457,0.14017,0.21731,89.2195,1.2567,1.6092,1.6302,3,0.916666667,40,0.14354,0.101173756,1.932777188
tomato,vegetable,living,0.82,0.576923,0.607142857,0.655172414,2,7826,0.80667,0.14015,0.21742,89.3269,0.87514,1.4647,1.6536,14864,1,53,0.16365,0.081296236,2.153385671
tombstone,street items,nonliving,0.408163,0.555556,0.153846154,0.038461538,5,11102,0.543,0.14026,0.21725,89.3159,1.0016,1.7182,1.787,836,0.291666667,38,0.1439,0.086927245,1.620552758
tongue,body parts,living,0.7,0.678571,0.464285714,0.103448276,4,8519,0.63791,0.1402,0.21741,89.3354,1.0224,1.7664,1.9909,11674,1,34,0.14065,0.105814101,2.391544282
toolbox,tool,nonliving,0.381818,0.692308,0.5,0.227272727,3,8258,0.55624,0.14044,0.21724,89.336,1.0558,1.6265,1.6553,515,0.583333333,35,0.15155,0.094496163,1.53936944
toothbrush,household items,nonliving,0.517857,0.461538,0.431818182,0.2,31,3639,0.08933,0.14032,0.21704,89.2591,1.3991,2.3634,2.1695,812,1,26,0.11296,0.051897721,0.948155417
tophat,clothing,nonliving,0.611111,0.461538,0.386363636,NA,2,14220,0.70478,0.14016,0.2168,89.2265,1.3006,1.6216,1.8278,6,0.916666667,50,0.15314,0.080168816,1.701255029
tortilla chip,food,nonliving,0.619048,0.47619,0.28,0.157894737,2,14428,0.64177,0.14012,0.21707,89.2457,0.96836,1.2502,2.1146,26,0.458333333,39,0.18045,0.093229671,1.683048209
totem pole,decorative,nonliving,0.622222222,NA,NA,0.087719298,16,11183,0.30936,0.14004,0.21705,89.2081,0.98813,1.3542,1.6965,2,0.666666667,40,0.13837,0.085551274,2.044715422
toucan,birds,living,0.888889,0.613636,0.423076923,0.245283019,4,8772,0.43652,0.13999,0.21713,89.1742,0.80604,1.4046,1.6287,68,0.75,43,0.16155,0.080082296,1.996871139
tour bus,vehicle,nonliving,0.755556,0.475,0.48,0.444444444,13,10343,0.35452,0.14005,0.21704,89.1374,0.98003,1.5236,2.1073,25937,0,50,0.14863,0.077466728,1.749028818
towel rack,furniture,nonliving,0.526316,0.333333,0.318181818,0.2,47,22398,0.87391,0.14008,0.21733,89.242,0.70892,1.3878,1.9957,53,0.25,55,0.10747,0.071293234,1.925501633
toy,toys,nonliving,0.511111,0.688889,0.692307692,0.148148148,9,11369,0.48961,0.1401,0.21782,89.3484,0.91521,1.2687,1.5577,13935,1,41,0.14664,0.076548046,1.530901286
toy apple,toys,nonliving,0.551724,0.518519,NA,NA,9,12147,0.7566,0.14008,0.21773,89.3337,0.70452,1.3889,1.7569,1,1,41,0.1423,0.079280048,2.31261108
toy basket,toys,nonliving,0.469388,0.428571,0.392857143,0.142857143,6,11845,0.49723,0.14002,0.21773,89.337,0.8916,1.3109,1.8989,0,0.875,42,0.13716,0.083029953,1.601184801
toy indian,toys,nonliving,NA,NA,NA,NA,6,8079,0.30182,0.14008,0.21781,89.3205,1.0808,1.6431,1.9796,NA,0.625,37,0.14461,0.113695248,1.923221713
toy phone,toys,nonliving,0.603774,0.68,0.302325581,NA,7,10465,0.55458,0.14023,0.21789,89.364,0.69365,1.4681,1.4948,12,0.666666667,44,0.13435,0.061181621,1.358803292
toy soldier,toys,nonliving,0.672727,0.666667,0.295454545,0.288888889,6,6440,0.2945,0.14018,0.2178,89.3142,1.1505,1.5053,1.8604,18,1,48,0.13637,0.089626238,1.859171243
toy train,toys,nonliving,0.387755,0.485714,0.785714286,0.138888889,5,10892,0.65786,0.14014,0.21792,89.3572,0.92568,1.3349,1.5714,52,0.956521739,28,0.15179,0.127113408,2.704121225
toy wagon,toys,nonliving,0.693878,NA,NA,0.272727273,7,12897,0.505,0.1401,0.21802,89.3658,0.83046,1.3548,1.6295,12,0.666666667,32,0.13097,0.066802869,1.602526796
toy xylophone,toys,nonliving,0.277778,0.645161,0.363636364,0.081632653,9,10558,0.59447,0.14029,0.21818,89.3877,0.80168,1.7477,1.8587,136,0.913043478,37,0.16666,0.06869343,1.386245479
tractor,vehicle,nonliving,0.416667,0.5,0.628571429,0.285714286,12,14429,0.56317,0.14047,0.21814,89.3766,0.81162,1.2327,1.7278,3188,1,37,0.15424,0.049949383,0.977917375
traffic light,street items,nonliving,0.314286,NA,0.466666667,0.48,4,6981,0.40833,0.14054,0.21807,89.3458,1.0275,1.5375,2.0606,419,0.791666667,49,0.12981,0.083112652,2.01693984
trailer,vehicle,nonliving,0.553571,0.407407,0.340909091,0.409090909,20,13712,0.71866,0.1408,0.21795,89.3837,0.82019,1.3961,1.8808,6713,0.347826087,44,0.125,0.060616794,1.241838682
train,vehicle,nonliving,0.509091,0.769231,0.558139535,0.590909091,12,6928,0.20598,0.1407,0.21781,89.3274,1.2771,1.7286,1.957,21766,1,46,0.15431,0.090567869,1.725667724
transformer,street items,nonliving,0.622222,0.454545,0.222222222,0.074074074,17,11856,0.69192,0.14078,0.21771,89.3785,0.83974,1.5317,1.8669,486,0.083333333,39,0.16979,0.084749367,1.460351897
trash bin,street items,nonliving,0.42,0.62963,0.214285714,0.275862069,3,7505,0.47319,0.14092,0.21754,89.3406,1.1779,1.8335,1.9477,141,0.958333333,37,0.17217,0.0799821,1.574125081
trash can,street items,nonliving,0.66,0.586207,NA,0.142857143,4,11890,0.61232,0.14119,0.21747,89.3296,0.95598,1.5804,1.868,768,0.833333333,45,0.14698,0.063557101,1.467065975
tray,kitchen items,nonliving,0.4,0.514286,0.548387097,0.194444444,5,10575,0.56668,0.14114,0.21734,89.334,1.1016,1.5439,1.7205,104,0.625,55,0.14539,0.093463143,2.348667753
treasure chest,decorative,nonliving,0.45614,0.461538,0.488372093,0.295454545,33,21410,0.57576,0.14108,0.21752,89.3422,0.96185,1.4443,1.9468,151,0.666666667,57,0.11546,0.071062331,1.820979612
treefrog,reptile,living,0.785714,0.666667,0.511111111,NA,4,10455,0.5496,0.14106,0.21756,89.3544,0.91098,1.3908,2.1175,14,0.958333333,43,0.15613,0.116181974,1.670106348
triangle,musical instruments,nonliving,0.4375,0.321429,0.307692308,0.259259259,32,6166,0.21788,0.14102,0.21742,89.3113,0.9626,2.0435,2.0499,4011,1,38,0.16928,0.098833997,1.570782397
tricycle,vehicle,nonliving,0.34,0.518519,0.185185185,0.148148148,12,10747,0.35872,0.14113,0.21737,89.2763,0.83842,1.3413,1.5989,302,0.875,33,0.15025,0.07103476,1.559550455
trolley,vehicle,nonliving,0.416667,0.53125,0.666666667,0.257142857,21,18338,0.7683,0.1411,0.2175,89.3056,0.81319,1.1707,1.9148,1066,0.333333333,45,0.14441,0.068349512,1.403682468
trombone,musical instruments,nonliving,0.74,0.592593,0.307692308,0.620689655,14,7079,0.26581,0.14103,0.21745,89.2751,1.0953,1.8484,1.8875,342,0.708333333,35,0.17923,0.062966074,0.910376149
trophy,decorative,nonliving,0.3,0.428571,0.464285714,0.172413793,8,10224,0.49904,0.14103,0.21752,89.2644,0.97586,1.3313,1.9981,4307,0.083333333,39,0.16257,0.113976112,2.124875425
trowel,tool,nonliving,0.55102,0.481481,0.357142857,0.344827586,4,6622,0.37463,0.14102,0.21744,89.2292,1.0168,1.7358,1.7578,380,0,43,0.14758,0.087869345,1.978066349
truck,vehicle,nonliving,0.577778,0.613636,0.576923077,0.285714286,8,7218,0.41662,0.14111,0.21726,89.2222,1.1303,1.6193,1.86,31536,0.541666667,48,0.16009,0.093754593,1.997938295
trumpet,musical instruments,nonliving,0.545455,0.703704,0.558139535,0.568181818,14,8023,0.25463,0.14103,0.21719,89.1798,1.0952,1.4814,1.5768,1805,0.875,36,0.18483,0.095649347,1.522305181
tuba,musical instruments,nonliving,0.678571,0.555556,0.607142857,0.479166667,8,10959,0.39987,0.14095,0.21729,89.1644,0.9867,1.4197,1.7589,7813,0.25,34,0.17325,0.070414052,1.313647519
turkey,birds,living,0.694444,0.689655,0.529411765,0.5,4,14006,0.56017,0.14103,0.21731,89.1488,0.93627,1.3589,2.1202,7757,0.75,37,0.18591,0.068907366,1.562348348
turtle,reptile,living,0.44898,0.607143,NA,0.657142857,3,8510,0.34387,0.14093,0.21719,89.1009,1.1446,1.6772,1.9968,3288,0.32,32,0.15858,0.061852815,2.152849482
typewriter,office tool,nonliving,0.410714,0.576923,0.522727273,0.2,15,14774,0.6041,0.14096,0.21714,89.0899,0.87205,1.3897,1.7986,1552,0.791666667,32,0.18777,0.091131574,1.263462425
umbrella,household items,nonliving,0.340909,0.522727,0.6,0.163636364,13,15238,0.51586,0.14092,0.21706,89.0732,1.0418,1.4855,1.7684,3900,1,49,0.1363,0.086086179,1.711908169
vacuum,appliances,nonliving,0.488889,0.522727,0.346153846,0.267857143,4,6595,0.25039,0.14098,0.21698,89.0228,1.1584,1.6168,1.7977,5028,0.583333333,43,0.16242,0.102223904,2.038476496
valve,tool,nonliving,0.38,0.266667,NA,0.166666667,6,11283,0.46664,0.14092,0.21696,89.0057,1.065,1.4816,1.8554,3866,0,49,0.14453,0.118293169,1.812910155
van,vehicle,nonliving,0.327273,0.5,0.444444444,0.204545455,3,9590,0.40661,0.14089,0.21697,88.9591,0.99183,1.376,1.9184,8364,0.958333333,47,0.14606,0.066930333,1.248006918
vanity mirror,furniture,nonliving,0.37931,0.44,0.464285714,0.173913043,16,16471,0.54994,0.14085,0.21704,88.9735,0.82067,1.2851,1.6452,20081,0.041666667,46,0.14187,0.087359755,2.006244107
vase,household items,nonliving,0.5,0.529412,0.4,0.25,3,8372,0.5466,0.14101,0.21721,88.9987,1.0414,1.6183,2.0662,2865,0.416666667,45,0.12477,0.057413447,1.151414245
vcr,appliances,nonliving,0.488889,0.409091,0.148148148,0.4,3,8852,0.40866,0.1411,0.21708,88.9527,1.0246,1.6807,1.6397,1281,1,39,0.13216,0.056675718,1.131732131
vent,house parts,nonliving,0.555556,0.285714,0.285714286,0.1,3,11508,0.46379,0.14102,0.21719,88.9376,0.87746,1.4308,1.6696,2464,1,45,0.13013,0.085652848,1.842836737
videocamera,electronics,nonliving,0.357143,0.740741,0.592592593,0.2,3,9849,0.57981,0.14095,0.21724,88.9163,0.92662,1.5508,1.6705,92,0.333333333,43,0.13575,0.07231601,1.795005148
viking helmet,clothing,nonliving,0.54,0.607143,NA,NA,5,7118,0.43186,0.14095,0.21714,88.9081,1.1086,1.5198,1.7101,6,1,48,0.13603,0.074807636,1.837968293
violin,musical instruments,nonliving,0.694444,NA,0.620689655,0.4,4,7490,0.5063,0.14074,0.21718,88.8532,1.0277,1.5067,1.6565,3061,0.75,30,0.168,0.108109532,1.578910802
violin bow,musical instruments,nonliving,0.55102,0.464286,0.37037037,0.379310345,28,4324,0.09863,0.14083,0.21699,88.8372,1.3251,2.1726,2.1483,15,0.260869565,45,0.14412,0.082348556,1.165308238
Volkswagen beetle,vehicle,nonliving,0.522727,0.466667,0.5,0.090909091,6,10796,0.49142,0.18712,0.20999,87.2751,0.85109,1.4072,1.9065,2684,0.208333333,47,0.15964,0.086819274,1.640728432
voltmeter,electronics,nonliving,0.408163,0.264706,0.266666667,0.388888889,8,13820,0.51101,0.14086,0.21711,88.8457,0.79752,1.3927,1.6714,35,0.173913043,41,0.13838,0.075785374,1.62445084
vulture,birds,living,0.66,0.607143,0.259259259,0.551724138,6,11556,0.95467,0.14097,0.21707,88.9538,0.95162,1.4023,1.8853,923,0.625,41,0.18345,0.113807575,2.151849673
waffle,food,nonliving,0.583333,NA,0.7,0.489361702,15,15269,0.85553,0.14091,0.21739,89.0387,1.1482,1.2983,1.6808,888,1,35,0.18164,0.090441357,1.140498253
waffle iron,appliances,nonliving,0.451613,0.7,0.428571429,0.14,7,12572,0.32974,0.14093,0.21726,88.9929,0.99089,1.306,1.7587,122,0.416666667,42,0.12425,0.056394853,0.917661206
